Index(20ms),Raw,DC Level,AC Level,AC/DC ratio(%),peaks
371.000000,40015.000000,40003.285714,11.714286,0.029283,
372.000000,40015.000000,40003.285714,11.714286,0.029283,
373.000000,40024.000000,40003.285714,20.714286,0.051781,
374.000000,40045.000000,40003.285714,41.714286,0.104277,
375.000000,40084.000000,40003.285714,80.714286,0.201769,
376.000000,40087.000000,40003.285714,83.714286,0.209269,
377.000000,40097.000000,40003.285714,93.714286,0.234266,
378.000000,40119.000000,40003.285714,115.714286,0.289262,
379.000000,40134.000000,40003.285714,130.714286,0.326759,
380.000000,40139.000000,40003.285714,135.714286,0.339258,283.000000,local max, 13
381.000000,40119.000000,40003.285714,115.714286,0.289262,
382.000000,40087.000000,40003.285714,83.714286,0.209269,
383.000000,40062.000000,40003.285714,58.714286,0.146774,
384.000000,39995.000000,40003.285714,-8.285714,-0.020713,
385.000000,39987.000000,40003.285714,-16.285714,-0.040711,
386.000000,39985.000000,40036.583333,-51.583333,-0.128840,154.000000,local min,14
387.000000,39991.000000,40036.583333,-45.583333,-0.113854,
388.000000,40026.000000,40036.583333,-10.583333,-0.026434,
389.000000,40010.000000,40036.583333,-26.583333,-0.066398,
390.000000,40039.000000,40036.583333,2.416667,0.006036,
391.000000,40057.000000,40036.583333,20.416667,0.050995,
392.000000,40067.000000,40036.583333,30.416667,0.075972,
393.000000,40076.000000,40036.583333,39.416667,0.098452,91.000000,local max, 14
394.000000,40061.000000,40036.583333,24.416667,0.060986,
395.000000,40044.000000,40036.583333,7.416667,0.018525,
396.000000,40046.000000,40036.583333,9.416667,0.023520,
397.000000,40049.000000,40036.583333,12.416667,0.031013,
398.000000,40046.000000,40036.583333,9.416667,0.023520,
399.000000,40034.000000,40036.583333,-2.583333,-0.006452,
400.000000,40034.000000,40036.583333,-2.583333,-0.006452,
401.000000,40036.000000,40036.583333,-0.583333,-0.001457,
402.000000,40034.000000,40036.583333,-2.583333,-0.006452,
403.000000,40054.000000,40036.583333,17.416667,0.043502,
404.000000,40052.000000,40036.583333,15.416667,0.038506,
405.000000,40054.000000,40036.583333,17.416667,0.043502,
406.000000,40038.000000,40036.583333,1.416667,0.003538,
407.000000,40055.000000,40036.583333,18.416667,0.046000,
408.000000,40012.000000,40036.583333,-24.583333,-0.061402,
409.000000,39978.000000,40036.583333,-58.583333,-0.146325,
410.000000,39951.000000,40138.058824,-187.058824,-0.466039,125.000000,local min,15
411.000000,39969.000000,40138.058824,-169.058824,-0.421193,
412.000000,39968.000000,40138.058824,-170.058824,-0.423685,
413.000000,39998.000000,40138.058824,-140.058824,-0.348943,
